Date,kpi,ppi,unemployment,oil_price_nok,usd_nok,import_val,eksport_val,styringsrente,eur_nok,boligpris_idx,toll_rate_avg
2017-04-01,105.2,100,4.6,437.9174699999999,8.4134,50619964479.7,75044981645.9,0.5,9.2049,-0.794,21.526407327829723
2017-05-01,105.4,99.17355371900827,4.7,427.06418399999995,8.4134,56873633502.00001,70989969659,0.5,9.405,-0.8260000000000001,21.526407327829723
2017-06-01,105.8,96.69421487603307,4.5,412.516168,8.4584,63362593363.99999,71801708211.99998,0.5,9.4997,-0.858,21.526407327829723
2017-07-01,106.1,95.73002754820938,4.1,445.92684799999995,8.4584,54296381238,70325464672.00002,0.5,9.3988,-0.89,21.526407327829723
2017-08-01,105.3,96.14325068870524,4.2,417.720864,7.9024,54943767208,70630655497.6,0.5,9.3201,-0.29400000000000004,21.526407327829723
2017-09-01,105.9,98.89807162534436,4.2,440.957313,7.7647,57567322741.3,71410625901,0.5,9.3275,0.30199999999999994,21.526407327829723
2017-10-01,106,101.37741046831957,4,473.180818,7.7647,52954639035.4,69966979518,0.5,9.3976,0.898,21.526407327829723
2017-11-01,106.1,104.54545454545456,4.1,510.2841880000001,8.1476,77242669992,73125679564.40001,0.5,9.6082,0.5096666666666667,21.526407327829723
2017-12-01,106.1,107.57575757575756,4.5,552.0499599999999,8.309,57148238447.99999,75948248320,0.5,9.8412,0.12133333333333338,21.526407327829723
2018-01-01,106,110.88154269972452,4,572.4070099999999,8.309,59161553535,82815280350,0.5,9.6464,-0.267,21.522724402345133
2018-02-01,107,108.1267217630854,4,497.22996800000004,7.6816,53450016940.8,77060658960,0.5,9.6712,0.4463333333333333,21.522724402345133
2018-03-01,107.3,108.67768595041325,4.2,550.344646,7.9369,66847873550.399994,81609904346,0.5,9.5801,1.1596666666666666,21.522724402345133
2018-04-01,107.7,112.25895316804409,4.2,592.807061,7.9369,61844677403.100006,78958882704,0.5,9.6202,1.873,21.522724402345133
2018-05-01,107.8,113.63636363636364,3.6,615.585964,7.9369,59498393771,82012867110,0.5,9.5674,1.3653333333333333,21.522724402345133
2018-06-01,108.5,116.11570247933885,4.2,647.2219470000001,8.1689,58440245248.8,86087054071,0.5,9.4746,0.8576666666666667,21.522724402345133
2018-07-01,109.3,117.35537190082646,4.1,606.214069,8.1689,59257494940.799995,87419094360,0.5,9.4975,0.35,21.522724402345133
2018-08-01,108.9,117.90633608815426,3.9,633.146436,8.1549,54796377565.799995,87458692932,0.5,9.6161,0.3496666666666666,21.522724402345133
2018-09-01,109.5,119.69696969696972,4.4,674.6548769999999,8.1549,60655818990,91836851418,0.58,9.6205,0.34933333333333333,21.522724402345133
2018-10-01,109.3,124.10468319559229,4,610.7730720000001,8.1393,58348810357.5,87788129403,0.75,9.4793,0.349,21.522724402345133
2018-11-01,109.8,120.24793388429754,3.9,496.58613599999995,8.3516,59320838539.6,79684628335.59999,0.75,9.6272,0.4066666666666667,21.522724402345133
2018-12-01,109.8,115.97796143250689,3.7,451.153432,8.3516,56976034699.6,76886470950.2,0.75,9.7946,0.4643333333333333,21.522724402345133
2019-01-01,109.3,116.39118457300277,4,508.111344,8.3516,64228102811.99999,82283778924,0.75,9.7631,0.522,21.52709137853654
2019-02-01,110.2,116.80440771349862,4.3,558.9004659999999,8.4286,65104487120.99999,78060366324.79999,0.75,9.7444,0.55,21.52709137853654
2019-03-01,110.4,114.46280991735537,3.6,577.4711,8.545,62476152260,78150399570,0.82,9.7181,0.578,21.52709137853654
2019-04-01,110.8,115.28925619834712,3.2,618.116268,8.5778,66493064083.6,81108357191.4,1,9.6247,0.606,21.52709137853654
2019-05-01,110.5,114.0495867768595,3.5,531.737822,8.5778,62988469129.8,77717560422.6,1,9.7793,0.6906666666666667,21.52709137853654
2019-06-01,110.6,108.53994490358127,3.8,555.3267719999999,8.5778,62331940070.399994,74052349951.99998,1.08,9.7447,0.7753333333333333,21.52709137853654
